qi1vsqi2	qi1	qi2	Problem	pairAlgs	AlgA	AlgB	resQI1	resQI2	Agree
HVvsIGD	HV	IGD	RA	CELLDE_MOCELL	CELLDE	MOCELL	B	B	TRUE
HVvsEP	HV	EP	RA	CELLDE_MOCELL	CELLDE	MOCELL	B	B	TRUE
HVvsGD	HV	GD	RA	CELLDE_MOCELL	CELLDE	MOCELL	B	A	FALSE
HVvsGS	HV	GS	RA	CELLDE_MOCELL	CELLDE	MOCELL	B	A	FALSE
HVvsED	HV	ED	RA	CELLDE_MOCELL	CELLDE	MOCELL	B	A	FALSE
HVvsPFS	HV	PFS	RA	CELLDE_MOCELL	CELLDE	MOCELL	B	A	FALSE
HVvsC	HV	C	RA	CELLDE_MOCELL	CELLDE	MOCELL	B	ND	FALSE
IGDvsEP	IGD	EP	RA	CELLDE_MOCELL	CELLDE	MOCELL	B	B	TRUE
IGDvsGD	IGD	GD	RA	CELLDE_MOCELL	CELLDE	MOCELL	B	A	FALSE
IGDvsGS	IGD	GS	RA	CELLDE_MOCELL	CELLDE	MOCELL	B	A	FALSE
IGDvsED	IGD	ED	RA	CELLDE_MOCELL	CELLDE	MOCELL	B	A	FALSE
IGDvsPFS	IGD	PFS	RA	CELLDE_MOCELL	CELLDE	MOCELL	B	A	FALSE
IGDvsC	IGD	C	RA	CELLDE_MOCELL	CELLDE	MOCELL	B	ND	FALSE
EPvsGD	EP	GD	RA	CELLDE_MOCELL	CELLDE	MOCELL	B	A	FALSE
EPvsGS	EP	GS	RA	CELLDE_MOCELL	CELLDE	MOCELL	B	A	FALSE
EPvsED	EP	ED	RA	CELLDE_MOCELL	CELLDE	MOCELL	B	A	FALSE
EPvsPFS	EP	PFS	RA	CELLDE_MOCELL	CELLDE	MOCELL	B	A	FALSE
EPvsC	EP	C	RA	CELLDE_MOCELL	CELLDE	MOCELL	B	ND	FALSE
GDvsGS	GD	GS	RA	CELLDE_MOCELL	CELLDE	MOCELL	A	A	TRUE
GDvsED	GD	ED	RA	CELLDE_MOCELL	CELLDE	MOCELL	A	A	TRUE
GDvsPFS	GD	PFS	RA	CELLDE_MOCELL	CELLDE	MOCELL	A	A	TRUE
GDvsC	GD	C	RA	CELLDE_MOCELL	CELLDE	MOCELL	A	ND	FALSE
GSvsED	GS	ED	RA	CELLDE_MOCELL	CELLDE	MOCELL	A	A	TRUE
GSvsPFS	GS	PFS	RA	CELLDE_MOCELL	CELLDE	MOCELL	A	A	TRUE
GSvsC	GS	C	RA	CELLDE_MOCELL	CELLDE	MOCELL	A	ND	FALSE
EDvsPFS	ED	PFS	RA	CELLDE_MOCELL	CELLDE	MOCELL	A	A	TRUE
EDvsC	ED	C	RA	CELLDE_MOCELL	CELLDE	MOCELL	A	ND	FALSE
PFSvsC	PFS	C	RA	CELLDE_MOCELL	CELLDE	MOCELL	A	ND	FALSE
HVvsIGD	HV	IGD	RA	CELLDE_NSGAII	CELLDE	NSGAII	B	B	TRUE
HVvsEP	HV	EP	RA	CELLDE_NSGAII	CELLDE	NSGAII	B	B	TRUE
HVvsGD	HV	GD	RA	CELLDE_NSGAII	CELLDE	NSGAII	B	B	TRUE
HVvsGS	HV	GS	RA	CELLDE_NSGAII	CELLDE	NSGAII	B	ND	FALSE
HVvsED	HV	ED	RA	CELLDE_NSGAII	CELLDE	NSGAII	B	A	FALSE
HVvsPFS	HV	PFS	RA	CELLDE_NSGAII	CELLDE	NSGAII	B	B	TRUE
HVvsC	HV	C	RA	CELLDE_NSGAII	CELLDE	NSGAII	B	ND	FALSE
IGDvsEP	IGD	EP	RA	CELLDE_NSGAII	CELLDE	NSGAII	B	B	TRUE
IGDvsGD	IGD	GD	RA	CELLDE_NSGAII	CELLDE	NSGAII	B	B	TRUE
IGDvsGS	IGD	GS	RA	CELLDE_NSGAII	CELLDE	NSGAII	B	ND	FALSE
IGDvsED	IGD	ED	RA	CELLDE_NSGAII	CELLDE	NSGAII	B	A	FALSE
IGDvsPFS	IGD	PFS	RA	CELLDE_NSGAII	CELLDE	NSGAII	B	B	TRUE
IGDvsC	IGD	C	RA	CELLDE_NSGAII	CELLDE	NSGAII	B	ND	FALSE
EPvsGD	EP	GD	RA	CELLDE_NSGAII	CELLDE	NSGAII	B	B	TRUE
EPvsGS	EP	GS	RA	CELLDE_NSGAII	CELLDE	NSGAII	B	ND	FALSE
EPvsED	EP	ED	RA	CELLDE_NSGAII	CELLDE	NSGAII	B	A	FALSE
EPvsPFS	EP	PFS	RA	CELLDE_NSGAII	CELLDE	NSGAII	B	B	TRUE
EPvsC	EP	C	RA	CELLDE_NSGAII	CELLDE	NSGAII	B	ND	FALSE
GDvsGS	GD	GS	RA	CELLDE_NSGAII	CELLDE	NSGAII	B	ND	FALSE
GDvsED	GD	ED	RA	CELLDE_NSGAII	CELLDE	NSGAII	B	A	FALSE
GDvsPFS	GD	PFS	RA	CELLDE_NSGAII	CELLDE	NSGAII	B	B	TRUE
GDvsC	GD	C	RA	CELLDE_NSGAII	CELLDE	NSGAII	B	ND	FALSE
GSvsED	GS	ED	RA	CELLDE_NSGAII	CELLDE	NSGAII	ND	A	FALSE
GSvsPFS	GS	PFS	RA	CELLDE_NSGAII	CELLDE	NSGAII	ND	B	FALSE
GSvsC	GS	C	RA	CELLDE_NSGAII	CELLDE	NSGAII	ND	ND	TRUE
EDvsPFS	ED	PFS	RA	CELLDE_NSGAII	CELLDE	NSGAII	A	B	FALSE
EDvsC	ED	C	RA	CELLDE_NSGAII	CELLDE	NSGAII	A	ND	FALSE
PFSvsC	PFS	C	RA	CELLDE_NSGAII	CELLDE	NSGAII	B	ND	FALSE
HVvsIGD	HV	IGD	RA	CELLDE_PAES	CELLDE	PAES	B	B	TRUE
HVvsEP	HV	EP	RA	CELLDE_PAES	CELLDE	PAES	B	B	TRUE
HVvsGD	HV	GD	RA	CELLDE_PAES	CELLDE	PAES	B	B	TRUE
HVvsGS	HV	GS	RA	CELLDE_PAES	CELLDE	PAES	B	A	FALSE
HVvsED	HV	ED	RA	CELLDE_PAES	CELLDE	PAES	B	A	FALSE
HVvsPFS	HV	PFS	RA	CELLDE_PAES	CELLDE	PAES	B	B	TRUE
HVvsC	HV	C	RA	CELLDE_PAES	CELLDE	PAES	B	ND	FALSE
IGDvsEP	IGD	EP	RA	CELLDE_PAES	CELLDE	PAES	B	B	TRUE
IGDvsGD	IGD	GD	RA	CELLDE_PAES	CELLDE	PAES	B	B	TRUE
IGDvsGS	IGD	GS	RA	CELLDE_PAES	CELLDE	PAES	B	A	FALSE
IGDvsED	IGD	ED	RA	CELLDE_PAES	CELLDE	PAES	B	A	FALSE
IGDvsPFS	IGD	PFS	RA	CELLDE_PAES	CELLDE	PAES	B	B	TRUE
IGDvsC	IGD	C	RA	CELLDE_PAES	CELLDE	PAES	B	ND	FALSE
EPvsGD	EP	GD	RA	CELLDE_PAES	CELLDE	PAES	B	B	TRUE
EPvsGS	EP	GS	RA	CELLDE_PAES	CELLDE	PAES	B	A	FALSE
EPvsED	EP	ED	RA	CELLDE_PAES	CELLDE	PAES	B	A	FALSE
EPvsPFS	EP	PFS	RA	CELLDE_PAES	CELLDE	PAES	B	B	TRUE
EPvsC	EP	C	RA	CELLDE_PAES	CELLDE	PAES	B	ND	FALSE
GDvsGS	GD	GS	RA	CELLDE_PAES	CELLDE	PAES	B	A	FALSE
GDvsED	GD	ED	RA	CELLDE_PAES	CELLDE	PAES	B	A	FALSE
GDvsPFS	GD	PFS	RA	CELLDE_PAES	CELLDE	PAES	B	B	TRUE
GDvsC	GD	C	RA	CELLDE_PAES	CELLDE	PAES	B	ND	FALSE
GSvsED	GS	ED	RA	CELLDE_PAES	CELLDE	PAES	A	A	TRUE
GSvsPFS	GS	PFS	RA	CELLDE_PAES	CELLDE	PAES	A	B	FALSE
GSvsC	GS	C	RA	CELLDE_PAES	CELLDE	PAES	A	ND	FALSE
EDvsPFS	ED	PFS	RA	CELLDE_PAES	CELLDE	PAES	A	B	FALSE
EDvsC	ED	C	RA	CELLDE_PAES	CELLDE	PAES	A	ND	FALSE
PFSvsC	PFS	C	RA	CELLDE_PAES	CELLDE	PAES	B	ND	FALSE
HVvsIGD	HV	IGD	RA	CELLDE_SMPSO	CELLDE	SMPSO	B	B	TRUE
HVvsEP	HV	EP	RA	CELLDE_SMPSO	CELLDE	SMPSO	B	B	TRUE
HVvsGD	HV	GD	RA	CELLDE_SMPSO	CELLDE	SMPSO	B	A	FALSE
HVvsGS	HV	GS	RA	CELLDE_SMPSO	CELLDE	SMPSO	B	A	FALSE
HVvsED	HV	ED	RA	CELLDE_SMPSO	CELLDE	SMPSO	B	B	TRUE
HVvsPFS	HV	PFS	RA	CELLDE_SMPSO	CELLDE	SMPSO	B	A	FALSE
HVvsC	HV	C	RA	CELLDE_SMPSO	CELLDE	SMPSO	B	ND	FALSE
IGDvsEP	IGD	EP	RA	CELLDE_SMPSO	CELLDE	SMPSO	B	B	TRUE
IGDvsGD	IGD	GD	RA	CELLDE_SMPSO	CELLDE	SMPSO	B	A	FALSE
IGDvsGS	IGD	GS	RA	CELLDE_SMPSO	CELLDE	SMPSO	B	A	FALSE
IGDvsED	IGD	ED	RA	CELLDE_SMPSO	CELLDE	SMPSO	B	B	TRUE
IGDvsPFS	IGD	PFS	RA	CELLDE_SMPSO	CELLDE	SMPSO	B	A	FALSE
IGDvsC	IGD	C	RA	CELLDE_SMPSO	CELLDE	SMPSO	B	ND	FALSE
EPvsGD	EP	GD	RA	CELLDE_SMPSO	CELLDE	SMPSO	B	A	FALSE
EPvsGS	EP	GS	RA	CELLDE_SMPSO	CELLDE	SMPSO	B	A	FALSE
EPvsED	EP	ED	RA	CELLDE_SMPSO	CELLDE	SMPSO	B	B	TRUE
EPvsPFS	EP	PFS	RA	CELLDE_SMPSO	CELLDE	SMPSO	B	A	FALSE
EPvsC	EP	C	RA	CELLDE_SMPSO	CELLDE	SMPSO	B	ND	FALSE
GDvsGS	GD	GS	RA	CELLDE_SMPSO	CELLDE	SMPSO	A	A	TRUE
GDvsED	GD	ED	RA	CELLDE_SMPSO	CELLDE	SMPSO	A	B	FALSE
GDvsPFS	GD	PFS	RA	CELLDE_SMPSO	CELLDE	SMPSO	A	A	TRUE
GDvsC	GD	C	RA	CELLDE_SMPSO	CELLDE	SMPSO	A	ND	FALSE
GSvsED	GS	ED	RA	CELLDE_SMPSO	CELLDE	SMPSO	A	B	FALSE
GSvsPFS	GS	PFS	RA	CELLDE_SMPSO	CELLDE	SMPSO	A	A	TRUE
GSvsC	GS	C	RA	CELLDE_SMPSO	CELLDE	SMPSO	A	ND	FALSE
EDvsPFS	ED	PFS	RA	CELLDE_SMPSO	CELLDE	SMPSO	B	A	FALSE
EDvsC	ED	C	RA	CELLDE_SMPSO	CELLDE	SMPSO	B	ND	FALSE
PFSvsC	PFS	C	RA	CELLDE_SMPSO	CELLDE	SMPSO	A	ND	FALSE
HVvsIGD	HV	IGD	RA	CELLDE_SPEA2	CELLDE	SPEA2	B	B	TRUE
HVvsEP	HV	EP	RA	CELLDE_SPEA2	CELLDE	SPEA2	B	B	TRUE
HVvsGD	HV	GD	RA	CELLDE_SPEA2	CELLDE	SPEA2	B	B	TRUE
HVvsGS	HV	GS	RA	CELLDE_SPEA2	CELLDE	SPEA2	B	A	FALSE
HVvsED	HV	ED	RA	CELLDE_SPEA2	CELLDE	SPEA2	B	A	FALSE
HVvsPFS	HV	PFS	RA	CELLDE_SPEA2	CELLDE	SPEA2	B	B	TRUE
HVvsC	HV	C	RA	CELLDE_SPEA2	CELLDE	SPEA2	B	ND	FALSE
